iter	RMSE
0	0.2077320609
1	0.1947452464
2	0.1842594456
3	0.1773609196
4	0.1716639787
5	0.1674640621
6	0.1641527295
7	0.1598118939
8	0.156879796
9	0.1548965712
10	0.1517384467
11	0.1489607252
12	0.1479623599
13	0.1467794543
14	0.1451845359
15	0.143854803
16	0.1427857479
17	0.1416133953
18	0.1393963626
19	0.1376406025
20	0.1360074497
21	0.1349295605
22	0.1336746626
23	0.1328960496
24	0.1321364698
25	0.1308463194
26	0.1290780535
27	0.1283988201
28	0.1279474257
29	0.1260666992
30	0.1251092794
31	0.1242084085
32	0.1233113998
33	0.1221912621
34	0.1220479249
35	0.1200178753
36	0.1193015355
37	0.1183845507
38	0.1169678834
39	0.115911295
40	0.1155087976
41	0.1142328661
42	0.1140093615
43	0.112848385
44	0.1126338581
45	0.1116859517
46	0.1109349726
47	0.1107139157
48	0.109679555
49	0.1086890017
50	0.1078037784
51	0.107107413
52	0.1069590845
53	0.1066347031
54	0.106565465
55	0.1051037832
56	0.1044673446
57	0.1044160624
58	0.1038575369
59	0.1031943751
60	0.1027791377
61	0.1021401984
62	0.1015301783
63	0.1012204356
64	0.1004796693
65	0.1003004011
66	0.0998338162
67	0.09846381131
68	0.09834172264
69	0.09785036765
70	0.09712389773
71	0.09636288051
72	0.09577225423
73	0.09459782179
74	0.09388575793
75	0.09354577501
76	0.09350968238
77	0.09337845643
78	0.09300911482
79	0.0925725731
80	0.09141524216
81	0.09067581695
82	0.09019743234
83	0.08919128243
84	0.08916337235
85	0.08859335336
86	0.08738131551
87	0.0869467807
88	0.08636084866
89	0.08606469867
90	0.08601149204
91	0.08554938427
92	0.0848330707
93	0.08454955102
94	0.08451565644
95	0.08416158939
96	0.08349902383
97	0.08344915013
98	0.08284982206
99	0.0820675168
