iter	Passed	Remaining
0	1	179
1	3	157
2	4	148
3	5	143
4	7	140
5	8	137
6	10	134
7	11	131
8	12	129
9	14	131
10	16	133
11	17	131
12	19	130
13	20	127
14	22	125
15	23	123
16	24	121
17	26	119
18	27	117
19	28	115
20	30	115
21	31	113
22	33	111
23	34	109
24	36	108
25	37	106
26	38	105
27	40	103
28	41	101
29	42	100
30	44	98
31	45	96
32	47	96
33	49	95
34	50	93
35	51	92
36	53	90
37	54	88
38	55	87
39	57	85
40	58	84
41	59	82
42	61	81
43	63	80
44	65	79
45	66	78
46	67	76
47	69	74
48	70	73
49	71	71
50	73	70
51	74	68
52	75	67
53	77	65
54	79	64
55	81	63
56	82	62
57	83	60
58	85	59
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	100	45
69	101	43
70	102	42
71	104	40
72	105	39
73	107	37
74	108	36
75	110	34
76	111	33
77	113	31
78	114	30
79	115	28
80	117	27
81	118	26
82	120	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	129	15
89	130	14
90	131	13
91	133	11
92	134	10
93	136	8
94	137	7
95	138	5
96	140	4
97	142	2
98	144	1
99	145	0
